Entity,Code,Year,Beef and Buffalo,Pigmeat,Sheep and goat,Eggs,Poultry
World,OWID_WRL,1961,28755714,24760707,6032191,13868000,8922991
World,OWID_WRL,1962,30307673,26079815,6166781,14208000,9166542
World,OWID_WRL,1963,31976185,27819596,6163326,14365000,9711570
World,OWID_WRL,1964,32437146,28684001,6158124,14985000,10092473
World,OWID_WRL,1965,33040548,31279297,6212144,15397000,10910644
World,OWID_WRL,1966,34754098,32387234,6317857,15778000,11626601
World,OWID_WRL,1967,36497312,33847027,6493821,16489000,12320666
World,OWID_WRL,1968,38228120,34405489,6672625,16957000,12700237
World,OWID_WRL,1969,39212224,34151071,6650206,17693000,13672688
World,OWID_WRL,1970,39662457,35825806,6830942,18556000,15021377
World,OWID_WRL,1971,39414287,39441593,6961677,19189000,15664655
World,OWID_WRL,1972,39899373,40626101,7018105,19768000,16751277
World,OWID_WRL,1973,40260716,40468435,6785120,19941000,17537523
World,OWID_WRL,1974,43311973,42412383,6561829,20429000,18227374
World,OWID_WRL,1975,45198729,41652862,6791671,21099000,18610485
World,OWID_WRL,1976,47582912,40748399,6819910,21376000,19894842
World,OWID_WRL,1977,47986751,42924601,6884345,22319000,21009054
World,OWID_WRL,1978,48514097,45682811,7044103,23268000,22599929
World,OWID_WRL,1979,47357186,50029300,7044175,23859000,24446982
World,OWID_WRL,1980,47172698,52657665,7341533,24540000,25839307
World,OWID_WRL,1981,47634473,53060008,7621505,25000000,27364807
World,OWID_WRL,1982,47727644,53272815,7712227,25703000,28286552
World,OWID_WRL,1983,48999507,55545314,7993433,26232000,28981986
World,OWID_WRL,1984,50395178,58424822,8072131,27521000,29535526
World,OWID_WRL,1985,51304055,60054862,8248783,29137000,30950233
World,OWID_WRL,1986,53086455,60837461,8335775,29980000,32976848
World,OWID_WRL,1987,53048483,63727269,8650214,30739000,35625245
World,OWID_WRL,1988,53542670,67060870,9053236,32065000,37404965
World,OWID_WRL,1989,53765572,68084574,9380976,32232000,38471148
World,OWID_WRL,1990,55296249,69961242,9700135,33124000,40888699
World,OWID_WRL,1991,55971962,71175560,9886255,34593000,43108432
World,OWID_WRL,1992,55155188,72582896,9917651,34962000,45235543
World,OWID_WRL,1993,54593928,74069539,10069961,36193000,47942684
World,OWID_WRL,1994,55141617,76289904,10291586,39370000,50732981
World,OWID_WRL,1995,55715509,77293291,10536962,41138000,54494000
World,OWID_WRL,1996,56481202,77725613,10230728,42485000,55992506
World,OWID_WRL,1997,57264704,78434659,10593733,44033000,59383794
World,OWID_WRL,1998,57147758,83250958,10993608,45573000,62035043
World,OWID_WRL,1999,58243850,84755294,11235500,47233000,65037460
World,OWID_WRL,2000,58918981,86266628,11541612,48579000,68541484
World,OWID_WRL,2001,57934414,86623473,11584135,49500000,70976322
World,OWID_WRL,2002,59562204,89184687,11591485,50719000,73721682
World,OWID_WRL,2003,59895864,92694955,11864248,51630000,75255784
World,OWID_WRL,2004,60939684,93127319,12216082,52682000,78013544
World,OWID_WRL,2005,62244696,95517179,12679549,53665000,80816671
World,OWID_WRL,2006,64067994,97492614,12815846,54609000,82977700
World,OWID_WRL,2007,65690802,100280476,13215183,56273000,87620700
World,OWID_WRL,2008,65838913,103040505,13289796,58218000,92436679
World,OWID_WRL,2009,65937905,104706835,13341872,59280000,95105449
World,OWID_WRL,2010,66661508,107436186,13380130,60379000,99344916
World,OWID_WRL,2011,66264948,107397247,13474299,61318000,102846961
World,OWID_WRL,2012,66899253,110620301,13713681,62769000,106013985
World,OWID_WRL,2013,67994737,112333009,14054819,64332000,109019989
World,OWID_WRL,2050,106000000,143000000,25000000,102000000,181000000